Name,Team,Nationality,Date of Birth,Age,Position,Shirt Number,Player Value,Strengths,Weaknesses,Total played,Started,Minutes per game,Team of the week,Goals conceded per game,Penalties saved,Saves per game,Succ. runs out per game,Goals conceded,Conceded from inside box,Conceded from outside box,Saves made,Saves from inside box,Saves from outside box,Saves caught,Saves parried,Assists,Touches,Big chances created,Key passes,Accurate per game,Acc. own half,Acc. opposition half,Acc. long balls,Acc. chipped passes,Acc. crosses,Clean sheets,Interceptions per game,Tackles per game,Possession won,Balls recovered per game,Dribbled past per game,Clearances per game,Error led to shot,Error led to goal,Penalties committed,Succ. dribbles,Total duels won,Ground duels won,Aerial duels won,Possession lost,Fouls,Was fouled,Offsides,Goal kicks per game,Yellow,Yellow-Red,Red cards,Height (cm),Preferred Foot
Guy Herman,Hapoel Hadera,ISR,19/06/2000,23,G,55," € 180,000 ",No outstanding strengths,Error proneness,20,19,88,2,1.6,0/1,3.0 (66%),0.3 (86%),31,26,5,60,28,32,2,12,0,35.4,0,0,14.1 (59%),12.0 (87%),2.1 (21%),3.9 (29%),0.9 (55%),0.0 (0%),6,0,0,0,9.9,0.1,0.8,2,2,0,0.0 (0%),0.4 (80%),0.2 (60%),0.3 (100%),10,0,0.3,0,9.7,2,0,0,193,Right
Adebayo Adeleye,Hapoel Katamon Jerusalem,NGR,17/05/2000,24,G,1," € 380,000 ",No outstanding strengths,No outstanding weaknesses,17,17,87,0,1.2,0/2,2.4 (66%),0.3 (100%),21,18,3,40,24,16,0,6,0,37.1,0,0.1,14.6 (55%),12.5 (82%),2.1 (19%),3.2 (22%),0.5 (20%),0.0 (0%),2,0,0,0,10.4,0,1.1,2,3,2,0.0 (0%),0.7 (80%),0.3 (71%),0.4 (88%),12.1,0.1,0.3,0,6.9,1,0,0,,Right
Mohammed Abu Nil,Bnei Sakhnin,ISR,03/05/2001,23,G,22," € 145,000 ","Long shots saving, Reflexes",No outstanding weaknesses,29,29,90,2,1.1,1/5,3.0 (73%),0.3 (100%),32,30,2,86,63,22,0,17,0,44.4,0,0,21.8 (64%),18.9 (86%),2.9 (24%),6.3 (35%),2.6 (48%),0.0 (0%),6,0,0,0,9.8,0,1.3,0,2,1,0.0 (0%),0.6 (78%),0.2 (83%),0.4 (76%),12.6,0,0.1,0,7.1,4,0,1,,Right
Niv Eliasi,Hapoel Be'er Sheva,ISR,21/02/2002,22,G,55," € 135,000 ","Reflexes, Handling, Long shots saving",Error proneness,30,30,90,0,1,3/3 ,2.8 (74%),0.0 (0%),30,28,2,84,56,27,1,13,0,32.3,0,0,17.0 (71%),15.8 (87%),1.2 (20%),3.5 (34%),1.5 (66%),0.0 (0%),11,0,0,0,6.9,0,0.5,0,4,2,0.0 (0%),0.4 (67%),0.1 (40%),0.3 (77%),7.2,0.1,0.1,0,7.4,2,0,0,188,
Ariel Harush,Ashdod SC,ISR,08/02/1988,36,G,1," € 185,000 ",No outstanding strengths,No outstanding weaknesses,31,31,89,0,1.4,1/5,2.4 (64%),0.1 (100%),43,37,6,75,43,31,1,12,1,32.3,0,0.1,14.4 (58%),10.7 (89%),3.7 (29%),5.3 (34%),1.1 (49%),0.0 (0%),9,0,0,0,7.5,0,0.7,0,0,0,0.0 (100%),0.3 (91%),0.1 (75%),0.2 (100%),10.8,0,0.1,0,8.9,2,0,0,190,Right
Gad Amos,Maccabi Bney Reine,ISR,24/12/1988,35,G,1," € 180,000 ",Reflexes,No outstanding weaknesses,33,33,90,2,1.2,1/5,2.9 (71%),0.3 (100%),39,32,7,97,61,35,1,19,0,37.8,0,0,19.2 (65%),14.8 (85%),4.3 (36%),8.0 (44%),2.8 (59%),0.0 (0%),9,0,0,0,7.9,0,0.6,2,2,0,0.0 (0%),0.4 (80%),0.1 (80%),0.2 (80%),10.6,0,0.1,0,8.5,2,0,0,186,Right
Yoav Gerafi,Hapoel Haifa,ISR,29/08/1993,30,G,1," € 375,000 ",No outstanding strengths,No outstanding weaknesses,30,30,89,4,1.2,1/6,2.7 (69%),0.2 (86%),36,31,5,81,44,37,0,20,1,36.1,0,0,19.6 (71%),16.7 (88%),2.9 (34%),5.1 (40%),1.7 (53%),0.0 (0%),11,0,0,0,7.2,0.1,0.6,1,0,0,0.0 (0%),0.3 (69%),0.1 (50%),0.2 (86%),8.3,0,0.1,0,9.2,1,0,0,182,Right
Emilijus Zubas,Hapoel Tel Aviv,LTU,10/07/1990,33,G,1," € 240,000 ",Reflexes,Error proneness,29,29,90,5,1.5,2/5,3.7 (71%),0.3 (100%),44,33,11,108,68,39,2,23,0,37.7,0,0,18.0 (68%),15.7 (89%),2.3 (26%),5.6 (40%),2.4 (63%),0.0 (0%),9,0,0,0,9,0,0.9,0,4,0,0.0 (0%),0.3 (83%),0.0 (50%),0.3 (90%),8.6,0,0,0,7.5,4,0,0,195,Right
Nadav Zamir,Hapoel Katamon Jerusalem,ISR,07/06/2001,22,G,55," € 145,000 ",No outstanding strengths,No outstanding weaknesses,17,16,87,0,1.1,0/2,2.5 (70%),0.9 (100%),18,16,2,43,21,22,1,9,0,39.3,0,0,17.5 (62%),15.7 (94%),1.8 (15%),2.5 (19%),0.2 (44%),0.0 (0%),5,0,0,0,10.4,0.1,0.9,0,1,0,0.0 (0%),0.4 (70%),0.1 (33%),0.4 (86%),10.8,0,0.1,0,7.6,2,0,0,,
Sharif Kaiuf,Maccabi Haifa,ISR,25/06/2001,22,G,40," € 180,000 ","Handling, Consistency, Reflexes",No outstanding weaknesses,33,33,90,1,0.7,0/2,2.6 (79%),0.2 (89%),22,18,4,85,40,45,1,10,1,31.4,2,0.1,16.4 (71%),14.3 (88%),2.1 (30%),4.6 (41%),2.0 (54%),0.0 (0%),16,0.1,0,0,7,0,0.6,1,1,2,0.0 (0%),0.1 (60%),0.0 (33%),0.1 (100%),7.1,0.1,0,0,5.7,3,0,0,187,Right
