team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Hapoel Be'er Sheva FC,Hapoel Be'er Sheva,2023/2024,Israel,35,18,17,0,19,13,6,4,2,2,12,3,9,1.74,2.28,1.18,3,1,7,3,54,36,18,90,46,44,32,22,14,22,18,0,58,51,70,87,115,70,13,9,4,13,8,5,10,2,8,18,13,5,191,106,85,87,41,46,53,54,53,409,221,188,204,111,93,205,110,95,384,197,187,18,14,4,20,6,14,-2,8,-10,10,9,1,16,7,9,9,2,7,1.31,1.89,0.71,2.57,2.56,2.59,1.54,1.78,1.29,1.03,0.78,1.29,1.09,1.11,1.06,0.51,0.78,0.24,0.57,0.33,0.82,34,23,16,8,5,2,17,13,10,3,2,1,17,10,6,5,3,1,1,12,19,27,30,33,1,5,8,15,16,17,0,7,11,12,14,16,97,66,46,23,14,6,94,72,56,17,11,6,100,59,35,29,18,6,3,34,54,77,86,94,6,28,44,83,89,94,0,41,65,71,82,94,21,11,4,11,5,3,10,6,1,60,31,11,61,28,17,59,35,6,54,72,35,20,37,50,24,37,44,29,29,11,47,51,72,29,22,14,8,63,78,47,21,8,13,60,44,76,6,3,3,17,17,18,29,50,6,46,39,53,26,11,41,5.46,5.89,5.00,2.49,2.28,2.71,71,60,54,51,43,26,23,14,1.62,1.69,1.53,1.26,1.21,1.30,60,4,5,3,5,3,7,7,9,11,5,2,4,6,4,4,3,2,6,11,11,12,34,17,53,11
Maccabi Tel Aviv FC,Maccabi Tel Aviv,2023/2024,Israel,35,17,18,0,25,12,13,7,4,3,3,1,2,2.34,2.35,2.33,1,2,1,1,73,25,48,98,47,51,36,37,11,14,25,23,43,42,44,127,138,115,15,7,8,17,9,8,4,1,3,24,12,12,234,126,108,63,29,34,60,62,58,454,228,226,225,115,110,229,113,116,371,158,213,32,16,16,15,8,7,17,8,9,18,8,10,11,6,5,6,3,3,1.86,1.76,1.94,2.8,2.76,2.83,2.09,2.12,2.06,0.71,0.65,0.78,1.34,1.41,1.28,0.91,0.94,0.89,0.43,0.47,0.39,34,26,18,11,7,2,17,14,8,5,2,1,17,12,10,6,5,1,1,9,17,24,28,33,0,3,9,12,15,16,1,6,8,12,13,17,97,74,51,31,20,6,100,82,47,29,12,6,94,67,56,33,28,6,3,26,49,69,80,94,0,18,53,71,88,94,6,33,44,67,72,94,27,12,5,13,7,2,14,5,3,77,34,14,76,41,12,78,28,17,71,71,72,5,43,41,44,49,53,44,11,6,17,69,71,67,22,10,12,63,59,67,14,7,7,40,41,39,7,4,3,20,24,17,51,47,56,31,35,28,17,18,17,6.69,7.41,6.00,1.8,1.71,1.89,86,80,77,56,40,28,20,6,1.90,1.98,1.83,1.19,1.10,1.27,77,5,5,8,5,14,9,7,7,13,1,6,4,3,1,4,2,2,2,20,24,17,9,6,11,3
Ihoud Bnei Sakhnin FC,Bnei Sakhnin,2023/2024,Israel,35,17,18,0,9,3,6,15,8,7,11,6,5,1.2,1,1.39,6,12,5,7,35,45,-10,80,37,43,15,20,22,23,-7,-3,90,102,81,70,70,70,6,2,4,22,11,11,10,6,4,15,4,11,146,79,67,84,34,50,48,52,45,317,157,160,160,71,89,157,86,71,368,167,201,14,3,11,14,6,8,0,-3,3,8,2,6,18,10,8,9,5,4,1.2,0.94,1.44,2.29,2.18,2.39,1,0.88,1.11,1.29,1.29,1.28,0.8,0.53,1.06,0.4,0.18,0.61,0.4,0.35,0.44,32,26,13,4,3,2,15,14,6,1,1,0,17,12,7,3,2,2,3,9,22,31,32,33,2,3,11,16,16,17,1,6,11,15,16,16,91,74,37,11,9,6,88,82,35,6,6,0,94,67,39,17,11,11,9,26,63,89,91,94,12,18,65,94,94,100,6,33,61,83,89,89,20,6,1,8,1,0,12,5,1,57,17,3,47,6,0,67,28,6,26,18,33,0,17,12,22,63,65,61,29,35,22,43,24,61,23,11,12,66,65,67,23,14,9,66,82,50,4,1,3,11,6,17,23,12,33,51,59,44,26,29,22,4.17,4.65,3.72,2.4,2,2.78,77,54,49,43,40,31,26,17,1.29,1.32,1.25,1.43,1.25,1.60,60,3,5,3,1,2,4,4,3,10,5,3,1,2,4,8,4,5,13,43,47,39,31,35,28,11
Maccabi Netanya FC,Maccabi Netanya,2023/2024,Israel,33,17,16,0,11,6,5,5,1,4,17,10,7,1.15,1.12,1.19,10,9,9,10,36,48,-12,84,46,38,18,18,28,20,-10,-2,83,85,80,62,55,72,7,3,4,16,9,7,12,5,7,14,7,7,151,80,71,91,48,43,53,53,52,380,185,195,186,85,101,194,100,94,397,202,195,20,12,8,23,15,8,-3,-3,0,10,5,5,13,7,6,10,5,5,1.3,1.29,1.31,2.55,2.71,2.38,1.09,1.06,1.13,1.45,1.65,1.25,1.3,1.59,1,0.61,0.71,0.5,0.7,0.88,0.5,31,24,16,8,4,1,17,11,10,4,3,1,14,13,6,4,1,0,2,9,17,25,29,32,0,6,7,13,14,16,2,3,10,12,15,16,94,73,48,24,12,3,100,65,59,24,18,6,88,81,38,25,6,0,6,27,52,76,88,97,0,35,41,76,82,94,12,19,62,75,94,100,24,13,5,13,8,5,11,5,0,73,39,15,76,47,29,69,31,0,33,35,31,-9,21,18,25,48,53,44,36,29,44,42,41,44,18,8,10,55,47,63,18,8,10,55,47,63,6,5,1,18,29,6,30,29,31,39,41,38,30,29,31,4.58,4.71,4.44,2.76,2.82,2.69,79,76,61,39,30,12,9,3,1.65,1.59,1.71,1.29,1.27,1.32,48,1,6,4,5,4,5,3,1,7,5,6,3,6,3,5,5,3,12,15,6,25,52,59,44,0
Beitar Jerusalem FC,Beitar Jerusalem,2023/2024,Israel,33,16,17,0,11,3,8,8,7,1,14,6,8,1.24,1,1.47,8,13,4,8,45,40,5,85,39,46,17,28,22,18,-5,10,66,85,55,74,65,85,10,4,6,15,8,7,10,6,4,18,6,12,137,89,48,65,36,29,55,59,51,329,149,180,149,57,92,180,92,88,312,142,170,24,10,14,13,9,4,11,1,10,15,5,10,9,5,4,9,6,3,1.64,1.25,2,2.58,2.44,2.71,1.36,1.06,1.65,1.21,1.38,1.06,1.12,1.19,1.06,0.73,0.63,0.82,0.39,0.56,0.24,31,24,17,5,4,2,14,11,6,3,2,1,17,13,11,2,2,1,2,9,16,28,29,31,2,5,10,13,14,15,0,4,6,15,15,16,94,73,52,15,12,6,88,69,38,19,13,6,100,76,65,12,12,6,6,27,48,85,88,94,12,31,62,81,87,94,0,24,35,88,88,94,25,6,4,11,3,3,14,3,1,76,18,12,69,19,19,82,18,6,33,19,47,-18,30,25,35,45,50,41,30,38,24,55,38,71,20,7,13,61,44,76,17,11,6,52,69,35,4,3,1,12,19,6,45,31,59,27,31,24,27,38,18,4.15,5.56,2.82,1.97,2.25,1.71,67,57,52,42,24,18,15,3,1.38,1.38,1.38,1.51,1.44,1.58,70,5,6,4,5,7,4,3,6,5,1,1,3,4,5,11,2,2,11,24,44,6,42,38,47,0
FC Ashdod,Ashdod,2023/2024,Israel,33,16,17,0,9,6,3,10,2,8,14,8,6,1.12,1.25,1,13,8,10,11,29,45,-16,74,37,37,15,14,22,23,-7,-9,102,96,110,66,65,67,9,5,4,15,6,9,12,6,6,14,8,6,125,57,68,77,42,35,46,46,45,315,158,157,159,78,81,156,80,76,354,163,191,13,7,6,15,10,5,-2,-3,1,7,4,3,20,8,12,6,4,2,1.24,1.25,1.24,2.24,2.31,2.18,0.88,0.94,0.82,1.36,1.38,1.35,0.85,1.06,0.65,0.39,0.44,0.35,0.45,0.63,0.29,30,22,11,8,3,0,15,10,6,4,2,0,15,12,5,4,1,0,3,11,22,25,30,33,1,6,10,12,14,16,2,5,12,13,16,17,91,67,33,24,9,0,94,63,38,25,13,0,88,71,29,24,6,0,9,33,67,76,91,100,6,37,62,75,87,100,12,29,71,76,94,100,17,7,2,10,4,1,7,3,1,52,21,6,63,25,6,41,18,6,27,38,18,3,27,31,24,45,38,53,36,38,35,42,50,35,22,10,12,67,63,71,22,10,12,67,63,71,5,2,3,15,13,18,21,25,18,61,50,71,18,25,12,3.79,3.56,4.00,2.33,2.63,2.06,67,39,33,24,18,9,6,3,1.30,1.32,1.28,1.34,1.30,1.39,64,3,2,4,2,3,7,1,1,6,4,1,4,3,4,4,9,6,10,30,13,47,42,50,35,3
Hapoel Haifa FC,Hapoel Haifa,2023/2024,Israel,35,18,17,0,17,8,9,5,2,3,13,8,5,1.6,1.44,1.76,4,6,3,4,46,47,-1,93,53,40,26,20,27,20,-1,0,69,63,76,67,60,76,12,5,7,17,9,8,7,4,3,19,10,9,152,80,72,88,44,44,50,52,48,339,176,163,171,92,79,168,84,84,402,195,207,21,13,8,19,10,9,2,3,-1,12,6,6,10,5,5,13,7,6,1.31,1.28,1.35,2.66,2.94,2.35,1.31,1.44,1.18,1.34,1.5,1.18,1.14,1.28,1,0.6,0.72,0.47,0.54,0.56,0.53,34,28,19,7,3,1,18,16,10,4,3,1,16,12,9,3,0,0,1,7,16,28,32,34,0,2,8,14,15,17,1,5,8,14,17,17,97,80,54,20,9,3,100,89,56,22,17,6,94,71,53,18,0,0,3,20,46,80,91,97,0,11,44,78,83,94,6,29,47,82,100,100,25,10,4,13,7,2,12,3,2,71,29,11,72,39,11,71,18,12,49,44,53,-1,34,28,41,49,50,47,20,22,18,54,56,53,21,11,10,60,61,59,21,11,10,60,61,59,3,1,2,9,6,12,34,33,35,29,28,29,37,39,35,4.34,4.44,4.24,2.51,2.44,2.59,80,69,56,46,28,20,11,0,1.34,1.40,1.28,1.42,1.37,1.47,66,2,6,5,3,6,7,4,3,10,7,3,3,2,5,6,5,5,11,14,11,18,37,44,29,0
Maccabi Petah Tikva FC,Maccabi Petah Tikva,2023/2024,Israel,33,17,16,0,11,9,2,7,1,6,15,7,8,1.21,1.65,0.75,9,5,12,9,44,57,-13,101,52,49,28,16,24,33,4,-17,68,55,90,52,64,44,7,5,2,16,8,8,10,4,6,17,11,6,121,57,64,89,47,42,49,46,52,306,161,145,148,75,73,158,86,72,421,239,182,24,18,6,23,8,15,1,10,-9,12,10,2,8,2,6,13,5,8,1.33,1.88,0.75,3.06,3.06,3.06,1.33,1.65,1,1.73,1.41,2.06,1.42,1.53,1.31,0.73,1.06,0.38,0.7,0.47,0.94,33,28,19,12,7,2,17,13,10,5,5,2,16,15,9,7,2,0,0,5,14,21,26,31,0,4,7,12,12,15,0,1,7,9,14,16,100,85,58,36,21,6,100,76,59,29,29,12,100,94,56,44,13,0,0,15,42,64,79,94,0,24,41,71,71,88,0,6,44,56,87,100,27,12,4,16,5,2,11,7,2,82,36,12,94,29,12,69,44,13,33,53,13,21,21,29,13,48,47,50,30,24,38,52,65,38,16,9,7,48,53,44,18,6,12,55,35,75,5,3,2,15,18,13,36,59,13,24,12,38,39,29,50,3.67,3.35,4.00,2.7,2.76,2.63,76,42,36,30,21,12,6,6,1.30,1.24,1.36,1.57,1.48,1.68,67,4,5,7,4,6,6,2,2,8,3,6,4,5,7,6,4,12,10,21,6,38,45,41,50,3
Maccabi Haifa FC,Maccabi Haifa,2023/2024,Israel,35,17,18,0,23,11,12,7,4,3,5,2,3,2.17,2.18,2.17,2,3,2,2,75,26,49,101,40,61,31,44,9,17,22,27,42,49,37,122,170,96,16,9,7,18,7,11,3,2,1,22,12,10,206,103,103,85,47,38,57,59,56,476,248,228,249,137,112,227,111,116,382,189,193,39,15,24,15,6,9,24,9,15,18,8,10,13,6,7,4,3,1,1.91,1.76,2.06,2.89,2.35,3.39,2.14,1.82,2.44,0.74,0.53,0.94,1.54,1.24,1.83,1.11,0.88,1.33,0.43,0.35,0.5,33,27,20,11,8,2,16,11,7,4,2,0,17,16,13,7,6,2,2,8,15,24,27,33,1,6,10,13,15,17,1,2,5,11,12,16,94,77,57,31,23,6,94,65,41,24,12,0,94,89,72,39,33,11,6,23,43,69,77,94,6,35,59,76,88,100,6,11,28,61,67,89,26,16,7,12,8,1,14,8,6,74,46,20,71,47,6,78,44,33,66,65,67,7,46,53,39,51,41,61,9,12,6,63,71,56,22,12,10,63,71,56,13,8,5,37,47,28,9,2,7,26,12,39,51,47,56,37,35,39,11,18,6,5.89,6.06,5.72,2.43,2.76,2.11,80,69,51,43,31,20,20,11,2.08,2.22,1.95,1.22,1.14,1.29,86,7,6,8,7,11,6,14,6,10,2,4,2,4,6,2,2,1,3,20,24,17,14,12,17,6
Hapoel Tel Aviv FC,Hapoel Tel Aviv,2023/2024,Israel,33,16,17,0,8,4,4,10,6,4,15,6,9,1.03,1.13,0.94,12,11,11,13,35,51,-16,86,42,44,17,18,25,26,-8,-8,85,85,85,58,58,59,11,5,6,14,6,8,14,8,6,12,6,6,143,68,75,95,48,47,51,50,53,288,160,128,132,73,59,156,87,69,332,183,149,14,5,9,24,8,16,-10,-3,-7,9,4,5,11,7,4,13,5,8,1.15,1.19,1.12,2.61,2.63,2.59,1.06,1.06,1.06,1.55,1.56,1.53,1.15,0.81,1.47,0.42,0.31,0.53,0.73,0.5,0.94,27,22,15,9,7,5,13,11,6,6,4,2,14,11,9,3,3,3,6,11,18,24,26,28,3,5,10,10,12,14,3,6,8,14,14,14,82,67,45,27,21,15,81,69,38,38,25,13,82,65,53,18,18,18,18,33,55,73,79,85,19,31,62,62,75,87,18,35,47,82,82,82,22,9,4,9,3,1,13,6,3,67,27,12,56,19,6,76,35,18,24,25,24,-1,33,31,35,42,38,47,42,50,35,36,38,35,20,11,9,61,69,53,22,12,10,67,75,59,2,0,2,6,0,12,27,25,29,33,44,24,39,31,47,4.33,4.25,4.41,2.88,3,2.76,85,76,67,64,36,30,15,9,1.13,1.28,1.00,1.56,1.59,1.53,64,2,4,1,6,2,7,3,6,4,4,9,5,3,5,6,6,3,10,30,38,24,45,38,53,6
